Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-01-04,101.95,102.24,99.75,102.22,37912403.0,0.0,1.0,101.95,102.24,99.75,102.22,37912403.0
2016-01-05,102.89,103.7099,101.665,102.73,23258238.0,0.0,1.0,102.89,103.7099,101.665,102.73,23258238.0
2016-01-06,101.13,103.77,100.9,102.97,25096183.0,0.0,1.0,101.13,103.77,100.9,102.97,25096183.0
2016-01-07,100.5,101.43,97.3,97.92,45172906.0,0.0,1.0,100.5,101.43,97.3,97.92,45172906.0
2016-01-08,99.88,100.5,97.0311,97.33,35402298.0,0.0,1.0,99.88,100.5,97.0311,97.33,35402298.0
2016-01-11,97.91,98.6,95.39,97.51,29932385.0,0.0,1.0,97.91,98.6,95.39,97.51,29932385.0
2016-01-12,99.0,99.96,97.55,99.37,28395390.0,0.0,1.0,99.0,99.96,97.55,99.37,28395390.0
2016-01-13,100.58,100.58,95.21,95.44,33410553.0,0.0,1.0,100.58,100.58,95.21,95.44,33410553.0
2016-01-14,95.85,98.87,92.45,98.37,48658623.0,0.0,1.0,95.85,98.87,92.45,98.37,48658623.0
2016-01-15,93.98,96.38,93.54,94.97,46132781.0,0.0,1.0,93.98,96.38,93.54,94.97,46132781.0
2016-01-19,96.53,97.42,93.92,95.26,30998256.0,0.0,1.0,96.53,97.42,93.92,95.26,30998256.0
2016-01-20,92.83,95.0,89.37,94.35,59051429.0,0.0,1.0,92.83,95.0,89.37,94.35,59051429.0
2016-01-21,94.91,95.99,92.62,94.16,30518939.0,0.0,1.0,94.91,95.99,92.62,94.16,30518939.0
2016-01-22,96.41,98.07,95.49,97.94,30495387.0,0.0,1.0,96.41,98.07,95.49,97.94,30495387.0
2016-01-25,98.72,99.48,96.93,97.01,32482015.0,0.0,1.0,98.72,99.48,96.93,97.01,32482015.0
2016-01-26,97.76,97.88,95.66,97.34,26877080.0,0.0,1.0,97.76,97.88,95.66,97.34,26877080.0
2016-01-27,97.79,97.85,94.23,94.45,58699359.0,0.0,1.0,97.79,97.85,94.23,94.45,58699359.0
2016-01-28,107.2,110.34,104.81,109.11,107475327.0,0.0,1.0,107.2,110.34,104.81,109.11,107475327.0
2016-01-29,108.99,112.84,108.84,112.21,62739548.0,0.0,1.0,108.99,112.84,108.84,112.21,62739548.0
2016-02-01,112.27,115.72,112.01,115.09,46132726.0,0.0,1.0,112.27,115.72,112.01,115.09,46132726.0
2016-02-02,114.8,117.59,113.2,114.61,59778571.0,0.0,1.0,114.8,117.59,113.2,114.61,59778571.0
2016-02-03,115.27,115.3407,109.75,112.69,56919324.0,0.0,1.0,115.27,115.3407,109.75,112.69,56919324.0
2016-02-04,111.8,111.94,109.25,110.49,38890199.0,0.0,1.0,111.8,111.94,109.25,110.49,38890199.0
2016-02-05,109.51,109.58,103.18,104.07,76894741.0,0.0,1.0,109.51,109.58,103.18,104.07,76894741.0
2016-02-08,100.41,102.68,97.46,99.75,71229746.0,0.0,1.0,100.41,102.68,97.46,99.75,71229746.0
2016-02-09,97.14,102.4,96.82,99.54,62709018.0,0.0,1.0,97.14,102.4,96.82,99.54,62709018.0
2016-02-10,101.55,103.25,100.24,101.0,45179370.0,0.0,1.0,101.55,103.25,100.24,101.0,45179370.0
2016-02-11,99.6,105.11,98.88,101.91,43670634.0,0.0,1.0,99.6,105.11,98.88,101.91,43670634.0
2016-02-12,103.74,104.24,101.09,102.01,36176760.0,0.0,1.0,103.74,104.24,101.09,102.01,36176760.0
2016-02-16,103.8,103.93,100.24,101.61,45687224.0,0.0,1.0,103.8,103.93,100.24,101.61,45687224.0
2016-02-17,101.94,105.72,100.4,105.2,44073369.0,0.0,1.0,101.94,105.72,100.4,105.2,44073369.0
2016-02-18,105.8,106.0,103.03,103.47,29593508.0,0.0,1.0,105.8,106.0,103.03,103.47,29593508.0
2016-02-19,102.55,105.02,102.06,104.57,32404516.0,0.0,1.0,102.55,105.02,102.06,104.57,32404516.0
2016-02-22,105.49,108.25,105.34,107.16,35709714.0,0.0,1.0,105.49,108.25,105.34,107.16,35709714.0
2016-02-23,106.85,107.47,105.12,105.46,25319315.0,0.0,1.0,106.85,107.47,105.12,105.46,25319315.0
2016-02-24,104.21,106.95,102.74,106.88,34412437.0,0.0,1.0,104.21,106.95,102.74,106.88,34412437.0
2016-02-25,107.11,108.07,105.61,108.07,29906278.0,0.0,1.0,107.11,108.07,105.61,108.07,29906278.0
2016-02-26,108.7,109.45,107.16,107.92,26686193.0,0.0,1.0,108.7,109.45,107.16,107.92,26686193.0
2016-02-29,107.6,108.9101,106.75,106.92,32778992.0,0.0,1.0,107.6,108.9101,106.75,106.92,32778992.0
2016-03-01,107.83,109.82,107.6,109.82,26817309.0,0.0,1.0,107.83,109.82,107.6,109.82,26817309.0
2016-03-02,109.68,110.55,108.77,109.95,25670170.0,0.0,1.0,109.68,110.55,108.77,109.95,25670170.0
2016-03-03,110.25,110.3,108.54,109.58,21353092.0,0.0,1.0,110.25,110.3,108.54,109.58,21353092.0
2016-03-04,110.05,110.05,107.93,108.39,24938858.0,0.0,1.0,110.05,110.05,107.93,108.39,24938858.0
2016-03-07,108.07,108.07,104.72,105.73,31534055.0,0.0,1.0,108.07,108.07,104.72,105.73,31534055.0
2016-03-08,104.78,107.37,104.4,105.93,25204666.0,0.0,1.0,104.78,107.37,104.4,105.93,25204666.0
2016-03-09,106.7,107.51,105.49,107.51,20493305.0,0.0,1.0,106.7,107.51,105.49,107.51,20493305.0
2016-03-10,107.91,108.66,105.7699,107.32,24854284.0,0.0,1.0,107.91,108.66,105.7699,107.32,24854284.0
2016-03-11,108.48,109.42,107.92,109.41,20697553.0,0.0,1.0,108.48,109.42,107.92,109.41,20697553.0
2016-03-14,109.28,110.33,108.77,109.89,17249365.0,0.0,1.0,109.28,110.33,108.77,109.89,17249365.0
2016-03-15,109.11,110.83,108.84,110.67,17618460.0,0.0,1.0,109.11,110.83,108.84,110.67,17618460.0
2016-03-16,110.49,112.5,110.1,112.18,24744778.0,0.0,1.0,110.49,112.5,110.1,112.18,24744778.0
2016-03-17,112.15,112.69,110.73,111.02,24241247.0,0.0,1.0,112.15,112.69,110.73,111.02,24241247.0
2016-03-18,111.56,112.42,110.27,111.45,36256877.0,0.0,1.0,111.56,112.42,110.27,111.45,36256877.0
2016-03-21,111.66,112.37,111.03,111.85,18447974.0,0.0,1.0,111.66,112.37,111.03,111.85,18447974.0
2016-03-22,111.36,112.88,111.17,112.25,19001076.0,0.0,1.0,111.36,112.88,111.17,112.25,19001076.0
2016-03-23,112.01,113.19,112.0,112.54,18561974.0,0.0,1.0,112.01,113.19,112.0,112.54,18561974.0
2016-03-24,112.13,113.09,111.68,113.05,17839119.0,0.0,1.0,112.13,113.09,111.68,113.05,17839119.0
2016-03-28,113.32,114.5889,112.95,113.69,21351751.0,0.0,1.0,113.32,114.5889,112.95,113.69,21351751.0
2016-03-29,113.83,116.32,113.64,116.14,29825340.0,0.0,1.0,113.83,116.32,113.64,116.14,29825340.0
2016-03-30,116.73,116.99,114.355,114.7,33235184.0,0.0,1.0,116.73,116.99,114.355,114.7,33235184.0
2016-03-31,114.7,115.01,113.7682,114.1,21207526.0,0.0,1.0,114.7,115.01,113.7682,114.1,21207526.0
2016-04-01,113.75,116.17,113.35,116.06,24760504.0,0.0,1.0,113.75,116.17,113.35,116.06,24760504.0
